Resource Type,Attributes Detected
IAM User,"Username, ARN, Path, Created date, Groups, Attached policies, Tags"
S3 Bucket,"Name, Region, ARN, Created date, Versioning, Encryption (SSE algorithm), Lifecycle rule count, Tags"
Route53 Hosted Zone,"Zone ID, Name, Private/public flag, Record count, Comment, Tags"
ACM Certificate,"ARN, Domain name, Status, Validation method, SANs, Key algorithm, Renewal eligibility, Tags"
CloudFront Distribution,"ID, ARN, Domain, Status, Aliases, Origins, Price class, HTTP version, Enabled flag, Tags"
Direct Connect Connection,"Connection ID, Name, State, Location, Bandwidth, Region, VLAN, Partner, Provider, LAG ID, Jumbo frames, Logical redundancy, Tags"
Direct Connect Gateway,"Gateway ID, Name, State, Amazon side ASN, Owner account"
VPC,"VPC ID, Name, CIDR block, State, Default flag, Tenancy, Extra CIDRs, Tags"
Subnet,"Subnet ID, Name, CIDR, VPC ID, AZ, Public IP on launch, IPv6 CIDR, Assign IPv6, Tags"
Security Group,"Group ID, Name, VPC ID, Description, Ingress rule count, Egress rule count, Tags"
Internet Gateway,"IGW ID, Name, Attached VPC, State, Tags"
Route Table,"Route table ID, Name, VPC ID, Main flag, Route count, Association count, Tags"
EC2 Instance,"Instance ID, Name, State, Type, AMI, AZ, VPC, Subnet, Private IP, Public IP, Key pair, IAM profile, EBS optimized, Monitoring, Tenancy, Security groups, User data (existence only), Tags"
EBS Volume,"Volume ID, Name, State, Size (GB), Type, AZ, IOPS, Throughput, Encrypted, KMS key, Snapshot ID, Multi-attach, Tags"
Elastic IP,"Allocation ID, Public IP, Association ID, Attached instance, ENI ID, Private IP, Tags"
RDS Instance,"DB identifier, Engine & version, Instance class, Status, Allocated storage, Max storage, Storage type, IOPS, Multi-AZ, Publicly accessible, Encrypted, KMS key, DB name, Port, Backup retention/window, Maintenance window, Deletion protection, CA cert, Parameter group, Option group, Subnet group, Security groups, Tags"
Aurora Cluster,"Cluster ID, Engine & version, Engine mode, Status, Port, DB name, Subnet group, Backup retention/window, Maintenance window, Encrypted, KMS key, Deletion protection, IAM auth, Security groups, ARN, Tags"
Load Balancer (ALB/NLB),"ARN, Name, Type, Scheme, State, DNS name, IP address type, VPC, Subnets, Security groups, Deletion protection, Access logs S3 bucket, Tags"
Lambda Function,"Name, ARN, Runtime, Handler, Memory, Timeout, Role, Description, Architecture, Ephemeral storage, Package type, KMS key, VPC config (VPC ID/subnets/SGs), Environment variable keys, Tags"
ECS Cluster,"Name, ARN, Status, Active services count, Running tasks count, Container Insights setting, Capacity providers, Tags"
EKS Cluster,"Name, ARN, Status, K8s version, Endpoint, Role ARN, VPC ID, Subnets, Security groups, Public/private access, Public access CIDRs, Enabled log types, Encryption key, Tags"
ElastiCache Cluster,"Cluster ID, Engine & version, Node type, Status, ARN, Number of nodes, AZ, Subnet group, Parameter group, Security groups, Maintenance window, Snapshot retention/window, Port, Auto minor version upgrade, Tags"
DynamoDB Table,"Table name, ARN, Status, Billing mode, RCU/WCU, Stream enabled/view type, TTL attribute, PITR status, KMS key, SSE type, Hash key, Range key, Attribute definitions, GSI count, Tags"
SNS Topic,"ARN, Name, FIFO flag, Content-based deduplication, KMS key, Display name, Delivery policy, Tags"
SQS Queue,"URL, Name, ARN, FIFO flag, Content-based deduplication, Visibility timeout, Message retention, Max message size, Delay seconds, Receive wait time, KMS key, DLQ ARN, Max receive count, Tags"
Secrets Manager Secret,"Name, ARN, Description, KMS key, Rotation enabled, Rotation interval (days), Last changed date, Tags"
SSM Parameter,"Name, ARN, Type, Tier, Version, Last modified date, Data type, KMS key, Tags"
NAT Gateway,"NAT ID, Name, State, Subnet, VPC, Connectivity type, Allocation ID, Public IP, Private IP, ENI ID, Created time, Tags"
Transit Gateway,"TGW ID, Name, ARN, State, Owner, Amazon side ASN, Auto-accept shared attachments, Default RTB association/propagation, DNS support, VPN ECMP support, Multicast support, Tags"
TGW Attachment,"Attachment ID, Name, TGW ID, Type (vpc/vpn/dx-gateway), Resource ID, State, Associated route table, Tags"
TGW Route Table,"Route table ID, Name, TGW ID, State, Default association/propagation flags, Tags"
Customer Gateway,"CGW ID, Name, State, Type, BGP ASN, IP address, Certificate ARN, Device name, Tags"
Virtual Private Gateway,"VGW ID, Name, State, Type, Amazon side ASN, Attached VPC, AZ, Tags"
VPN Connection,"VPN ID, Name, State, Type, Customer GW ID, VGW ID, TGW ID, Category, Static routes only, Local/remote IPv4 CIDR, Acceleration enabled, Tunnel 1 & 2 IP/status, Tags"
DX Virtual Interface,"VIF ID, Name, State, Type (private/public/transit), Connection ID, VLAN, BGP ASN, Amazon ASN, Auth key (existence only), Address family, Amazon/customer addresses, MTU, Jumbo frame capable, DX gateway ID, VGW ID, Owner account, Tags"
